Puissance;PoidsAVide;ConsoMixte;CO2;Energie
96;1519;6.656;150.86;ESSENCE
100;1470;6.194;141;ESSENCE
110;1386;4.192;109.9;GAZOLE
132;1860;1.843;43.84;ELEC+ESSENC HR
250;1925;5.822;152.4;GAZ+ELEC HNR
140;1840;5.621;147.2;GAZ+ELEC HNR
135;1525;6.231;141.8;ESSENCE
148;1429;7.176;162.6;ESSENCE
96;1519;6.656;150.86;ESSENCE
73.5;1100;5.196;118;ESSENCE
110;1321;5.649;128.4;ESSENCE
81;1280;5.367;122;ESS+ELEC HNR
375;1920;9.94;226;ESSENCE
324;1960;11.1;251;ESSENCE
110;1510;4.847;126.8;GAZOLE
75;1475;6.675;151.1;ESSENCE
135;1620;6.564;149.1;ESSENCE
140;1840;5.243;137.2;GAZ+ELEC HNR
170;1275;6.536;148.7;ESSENCE
100;1290;5.585;127.3;ESSENCE
250;1980;5.964;156.1;GAZ+ELEC HNR
100;1430;6.228;141.6;ESSENCE
112;1626;5.413;124.03;ESS+ELEC HNR
375;1725;9.635;219;ESSENCE
75;1390;6.084;139;ESSENCE
110;1962;6.817;178.92;GAZOLE
96;1270;4.837;126.83;GAZOLE
95.6;2093;7.886;206.9;GAZOLE
100;1230;5.437;123.5;ESSENCE
51.5;999;4.662;106;ESS+ELEC HNR
170;1275;6.536;148.7;ESSENCE
112;1626;5.413;124.03;ESS+ELEC HNR
81;1205;4.297;112.64;GAZOLE
250;1925;5.822;152.4;GAZ+ELEC HNR
193;2100;7.578;171.48;ESS+ELEC HNR
90;1568;4.894;128.3;GAZOLE
96;1770;1.856;42.72;ELEC+ESSENC HR
140;1705;4.784;125.3;GAZ+ELEC HNR
100;1320;5.577;127.1;ESSENCE
116;1353;5.88;133;ESSENCE
225;1605;7.584;173.1;ESSENCE
68;1085;3.757;85.05;ESS+ELEC HNR
125;2035;6.941;182.22;GAZOLE
150;1655;6.422;144.8;ESS+ELEC HNR
103;1245;5.702;129.1;ESS+ELEC HNR
74;1090;4.853;108.97;ESSENCE
100;1200;5.424;123;ESSENCE
80;1320;5.626;128.4;ESSENCE
250;2020;6.501;170.2;GAZ+ELEC HNR
75;1290;5.227;118.3;ESS+ELEC HNR
80;1320;5.626;128.4;ESSENCE
131;1225;5.803;131.9;ESSENCE
100;1531;4.961;129.9;GAZ+ELEC HNR
135;1690;6.644;151.5;ESSENCE
100;1430;6.228;141.6;ESSENCE
110;1330;6.414;145.8;ESSENCE
73.6;959;5.015;114;ESSENCE
100;1430;6.228;141.6;ESSENCE
100;1290;5.585;127.3;ESSENCE
110;1321;5.649;128.4;ESSENCE
115;1520;5.887;134;ESS+ELEC HNR
75;1620;4.598;120.4;GAZOLE
67;1072;5.109;115.2;ESSENCE
110;2034;6.817;178.92;GAZOLE
51.5;1001;4.979;113.6;ESS+ELEC HNR
100;1320;5.577;127.1;ESSENCE
73.5;1100;5.196;118;ESSENCE
117.5;1325;6.151;139.2;ESSENCE
140;1680;5.571;146;GAZOLE
140;1725;5.251;137.7;GAZ+ELEC HNR
110;1471;6.392;144.2;ESSENCE
73.6;959;5.015;114;ESSENCE
135;1960;1.756;40.05;ELEC+ESSENC HR
100;1510;4.954;129.71;GAZ+ELEC HNR
210;1935;6.102;159.7;GAZ+ELEC HNR
140;1680;5.571;146;GAZOLE
140;1760;5.038;132;GAZ+ELEC HNR
96;1420;5.644;126.96;ESSENCE
69.9;1114;7.052;115.51;SUPERETHANOL
100;1250;5.424;123;ESSENCE
85;1320;4.581;119.75;GAZOLE
103;1245;5.702;129.1;ESS+ELEC HNR
243;2210;1.9;43.9;ELEC+ESSENC HR
100;1250;5.424;123;ESSENCE
441;2710;16.363;373;ESSENCE
131;1415;6.262;142.6;ESSENCE
100;1430;6.289;143.1;ESSENCE
90;1535;4.624;121.1;GAZOLE
140;1840;5.621;147.2;GAZ+ELEC HNR
100;1397;4.979;130.4;GAZ+ELEC HNR
131;1470;6.445;146.8;ESSENCE
140;1665;4.968;130.3;GAZ+ELEC HNR
110.1;1463;6.467;146.8;ESS+ELEC HNR
131;1280;5.803;131.9;ESSENCE
275;1890;7.712;176.2;ESS+ELEC HNR
140;1840;5.621;147.2;GAZ+ELEC HNR
81;1278;4.689;106.6;ESS+ELEC HNR
110;1600;5.022;131.7;GAZOLE
225;1615;7.474;170.3;ESSENCE
90;1660;4.991;130.9;GAZ+ELEC HNR
100;1175;5.437;123.5;ESSENCE
75;1180;5.418;123.2;ESSENCE
140;1465;4.79;125.5;GAZOLE
460;2025;10.988;251;ESSENCE
250;2005;6.501;170.2;GAZ+ELEC HNR
140;1840;5.621;147.2;GAZ+ELEC HNR
225;1570;7.151;161.5;ESSENCE
100;1375;5.577;127.1;ESSENCE
49;1028;5.219;118;ESSENCE
48;940;5.115;115.7;ESSENCE
103;1241;5.699;129;ESSENCE
135;1620;6.564;149.1;ESSENCE
84;1497;6.325;143.5;ESSENCE
210;1780;5.2;136.2;GAZ+ELEC HNR
131;1430;5.902;134.7;ESSENCE
51.5;992;4.662;106;ESS+ELEC HNR
100;1250;5.424;123;ESSENCE
140;1670;4.862;127.4;GAZ+ELEC HNR
75;1475;6.675;151.1;ESSENCE
250;2020;6.501;170.2;GAZ+ELEC HNR
103;1329;6.338;143;ESS+ELEC HNR
100;1175;5.437;123.5;ESSENCE
110;1605;5.374;140.8;GAZOLE
88.3;1150;5.099;116;ESS+ELEC HNR
100;1320;5.577;127.1;ESSENCE
